t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.950866,From ReEDS case nuclear_90
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.673366,From ReEDS case nuclear_90
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.740987,From ReEDS case nuclear_90
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061576,From ReEDS case nuclear_90
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517015,From ReEDS case nuclear_90
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.439817,From ReEDS case nuclear_90
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.49,From ReEDS case nuclear_90
2045,p4015,Nuclear,nuclear_r_fsu,r,fsu,67.140191,From ReEDS case nuclear_90
2048,p4015,Nuclear,nuclear_r_fsu,r,fsu,2713.150732,From ReEDS case nuclear_90
2048,p8001,Nuclear,nuclear_r_fsu,r,fsu,221.669056,From ReEDS case nuclear_90
2045,p10001,Nuclear,nuclear_r_fsu,r,fsu,697.534238,From ReEDS case nuclear_90
2048,p10001,Nuclear,nuclear_r_fsu,r,fsu,519.802529,From ReEDS case nuclear_90
2048,p12005,Nuclear,nuclear_r_fsu,r,fsu,10698.991842,From ReEDS case nuclear_90
2048,p13001,Nuclear,nuclear_r_fsu,r,fsu,2316.837015,From ReEDS case nuclear_90
2045,p19009,Nuclear,nuclear_r_fsu,r,fsu,422.206912,From ReEDS case nuclear_90
2048,p19009,Nuclear,nuclear_r_fsu,r,fsu,1341.861867,From ReEDS case nuclear_90
2045,p17001,Nuclear,nuclear_r_fsu,r,fsu,75.76888,From ReEDS case nuclear_90
2048,p17001,Nuclear,nuclear_r_fsu,r,fsu,1722.393672,From ReEDS case nuclear_90
2045,p17007,Nuclear,nuclear_r_fsu,r,fsu,3326.336275,From ReEDS case nuclear_90
2048,p17007,Nuclear,nuclear_r_fsu,r,fsu,259.068786,From ReEDS case nuclear_90
2048,p21003,Nuclear,nuclear_r_fsu,r,fsu,969.473925,From ReEDS case nuclear_90
2048,p24001,Nuclear,nuclear_r_fsu,r,fsu,1689.579802,From ReEDS case nuclear_90
2048,p37003,Nuclear,nuclear_r_fsu,r,fsu,3441.11796,From ReEDS case nuclear_90
2048,p38001,Nuclear,nuclear_r_fsu,r,fsu,1227.603946,From ReEDS case nuclear_90
2048,p33001,Nuclear,nuclear_r_fsu,r,fsu,416.189586,From ReEDS case nuclear_90
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,850.375309,From ReEDS case nuclear_90
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,847.992666,From ReEDS case nuclear_90
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,1849.928026,From ReEDS case nuclear_90
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,4061.666161,From ReEDS case nuclear_90
2048,p47001,Nuclear,nuclear_r_fsu,r,fsu,930.829897,From ReEDS case nuclear_90
2048,p48037,Nuclear,nuclear_r_fsu,r,fsu,1363.961813,From ReEDS case nuclear_90
2048,p49001,Nuclear,nuclear_r_fsu,r,fsu,1954.903037,From ReEDS case nuclear_90
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,6143.471986,From ReEDS case nuclear_90
2048,p51003,Nuclear,nuclear_r_fsu,r,fsu,2363.462526,From ReEDS case nuclear_90
2045,p53007,Nuclear,nuclear_r_fsu,r,fsu,370.984325,From ReEDS case nuclear_90
2048,p53007,Nuclear,nuclear_r_fsu,r,fsu,1316.533956,From ReEDS case nuclear_90
2045,p55003,Nuclear,nuclear_r_fsu,r,fsu,300.280952,From ReEDS case nuclear_90
2048,p55003,Nuclear,nuclear_r_fsu,r,fsu,1160.356821,From ReEDS case nuclear_90
